Orthogroup	Cr	Cr.expr	Cs	Cs.expr
OG0012684	MSYJ227220.1	0.0685463	orange1.1t04139.1	0.128629
OG0012685	MSYJ064690.1	0.260709	Cs9g11570.1	0
OG0012686	MSYJ002910.1	0.0462768	orange1.1t02145.1	0
OG0012687	MSYJ253410.1	0.159319	orange1.1t04031.1	0.971197
OG0012688	MSYJ127300.1	2.03137	orange1.1t05472.1	0
OG0012689	MSYJ187290.1	21.6645	Cs2g03630.1	17.2148
OG0012690	MSYJ132840.1	27.0221	Cs2g11770.1	9.218
OG0012691	MSYJ284650.1	5.78616	Cs1g08000.1	3.30736
OG0012692	MSYJ277770.1	0.997581	Cs1g24780.1	3.29341
OG0012693	MSYJ027970.1	39.7769	Cs2g20980.1	19.8087
OG0012694	MSYJ028830.1	0	Cs2g19980.1	0
OG0012695	MSYJ256970.1	29.8264	Cs3g24430.1	2.00329
OG0012696	MSYJ086470.1	61.3315	Cs4g09390.1	70.1126
OG0012697	MSYJ192110.1	0	Cs2g29760.1	0
OG0012698	MSYJ048020.1	7.78475	Cs1g20480.1	5.01508
OG0012700	MSYJ281320.1	12.1317	Cs7g19480.1	16.4661
OG0012701	MSYJ130600.1	86.4993	orange1.1t03842.1	68.9872
OG0012702	MSYJ143830.1	0	Cs8g03130.1	0
OG0012703	MSYJ143380.1	0.0322751	Cs8g02650.1	0
OG0012704	MSYJ074300.1	3.84526	Cs4g01430.1	0.216718
OG0012705	MSYJ256960.2	47.2453	Cs3g24440.2	0.730983
OG0012706	MSYJ097270.1	1.51398	Cs7g20190.1	0.121987
OG0012707	MSYJ256200.1	2.83253	Cs3g25200.1	5.04497
OG0012708	MSYJ161510.3	6.36461e-10	Cs7g02880.2	0.140459
OG0012710	MSYJ108320.1	2.19677	Cs1g03640.1	0.758818
OG0012712	MSYJ185130.1	22.9268	Cs2g05970.1	36.749
OG0012713	MSYJ036440.1	4.65208	Cs6g17450.1	0.82189
OG0012714	MSYJ103690.1	0	Cs8g01750.1	0
OG0012715	MSYJ031000.1	41.9735	Cs6g11550.1	0
OG0012716	MSYJ278040.1	30.2141	Cs1g25070.1	4.66376
OG0012718	MSYJ099210.1	0	Cs1g09940.1	0
OG0012719	MSYJ042510.1	177.038	Cs7g28120.1	0.522751
OG0012720	MSYJ284680.1	24.2223	Cs1g08010.1	25.6323
OG0012721	MSYJ163820.1	45.5976	Cs3g01390.1	62.2532
OG0012722	MSYJ113660.1	571.623	orange1.1t01674.1	148.741
OG0012723	MSYJ048870.1	72.2404	Cs1g19660.1	21.4499
OG0012724	MSYJ032950.1	220.821	Cs6g13760.1	70.8859
OG0012725	MSYJ040960.1	0	Cs2g17180.1	0
OG0012726	MSYJ046460.1	1.84451	Cs1g21990.1	0.104717
OG0012728	MSYJ131400.1	0.616117	Cs2g10230.1	0
OG0012729	MSYJ055390.1	0.492163	Cs3g20370.1	0.0931172
