	Orthogroup	Cr	Cr.expr	Crdist	Cs	Cs.expr	Csdist
0	OG0007416	MSYJ204640.1	45.4075	985	Cs8g19610.1	38.8195	-340
1	OG0007417	MSYJ064690.1	0.264106	-176	Cs9g11570.1	0.0	8861751
2	OG0007418	MSYJ002910.1	0.0467735	190809	orange1.1t02145.1	0.0	-601
3	OG0007420	MSYJ253410.1	0.161517	3741894	orange1.1t04031.1	1.02125	0
4	OG0007421	MSYJ237430.1	0.0	0	Cs5g18030.1	0.0	0
5	OG0007422	MSYJ127300.1	2.0438400000000003	0	orange1.1t05472.1	0.0	0
6	OG0007423	MSYJ187290.1	21.8946	161	Cs2g03630.1	18.0103	15071346
7	OG0007424	MSYJ132840.1	27.3377	0	Cs2g11770.1	9.69833	21963986
8	OG0007425	MSYJ284650.1	5.85315	0	Cs1g08000.1	3.4668099999999997	20356138
9	OG0007428	MSYJ277770.1	1.00959	0	Cs1g24780.1	3.4721900000000003	0
10	OG0007429	MSYJ055280.1	3.83934	860	Cs3g20450.1	6.71845	-165
11	OG0007430	MSYJ027970.1	40.2031	0	Cs2g20980.1	20.818	173
12	OG0007431	MSYJ028830.1	0.0	-449	Cs2g19980.1	0.0	470
13	OG0007433	MSYJ256970.1	30.2178	315	Cs3g24430.1	2.10168	0
14	OG0007434	MSYJ086470.1	62.2007	0	Cs4g09390.1	73.8336	13667231
15	OG0007435	MSYJ192110.1	0.0	364	Cs2g29760.1	0.0	341
16	OG0007436	MSYJ048020.1	7.87455	1621	Cs1g20480.1	5.26124	-300
17	OG0007437	MSYJ261620.1	48.6516	1181	Cs7g08350.1	23.660999999999998	26965150
18	OG0007440	MSYJ281320.1	12.2903	1539371	Cs7g19480.1	17.4121	-1617
19	OG0007441	MSYJ130600.1	87.5703	0	orange1.1t03842.1	73.8779	0
20	OG0007442	MSYJ179950.1	0.0	346	Cs7g21150.1	0.32300500000000004	347
21	OG0007443	MSYJ143830.1	0.0	245	Cs8g03130.1	0.0	12888518
22	OG0007444	MSYJ143380.1	0.0326127	0	Cs8g02650.1	0.0	9637901
23	OG0007445	MSYJ104060.1	2.95689	287724	Cs4g17250.2	5.23093	-444
24	OG0007446	MSYJ195670.1	54.6861	141	Cs4g17550.1	52.2085	0
25	OG0007448	MSYJ097270.1	1.53346	1065599	Cs7g20190.1	0.128916	348
26	OG0007449	MSYJ256200.1	2.88123	424	Cs3g25200.1	5.30894	-400
27	OG0007452	MSYJ108320.1	2.22342	0	Cs1g03640.1	0.79787	24827381
28	OG0007455	MSYJ185130.1	23.1557	0	Cs2g05970.1	38.6179	27477204
29	OG0007456	MSYJ120240.1	179.669	439511	Cs6g21110.1	80.7465	0
30	OG0007458	MSYJ036440.1	4.72985	1211	Cs6g17450.1	0.875411	683
31	OG0007459	MSYJ103690.1	0.0	708	Cs8g01750.1	0.0	22222662
32	OG0007460	MSYJ031000.1	42.5359	4808766	Cs6g11550.1	0.0	0
33	OG0007462	MSYJ099210.1	0.0	1562900	Cs1g09940.1	0.0	496
34	OG0007464	MSYJ042510.1	178.945	0	Cs7g28120.1	0.550243	1275
35	OG0007465	MSYJ284680.1	24.4772	-311	Cs1g08010.1	27.0014	20336165
36	OG0007469	MSYJ163820.1	46.2494	448	Cs3g01390.1	66.0433	28274918
37	OG0007470	MSYJ113660.1	578.575	358	orange1.1t01674.1	156.793	-310
38	OG0007471	MSYJ048870.1	72.9853	8	Cs1g19660.1	22.4324	-19
39	OG0007472	MSYJ032950.1	223.925	1099	Cs6g13760.1	75.6911	1095
40	OG0007473	MSYJ040960.1	0.0	38	Cs2g17180.1	0.0	0
41	OG0007474	MSYJ151100.1	1.8299299999999998	155795	Cs3g07440.1	1.60564	-515
42	OG0007475	MSYJ046460.1	1.8688099999999999	3800201	Cs1g21990.1	0.11129000000000001	75
43	OG0007477	MSYJ133460.1	8.97822	-876	Cs2g12400.2	4.5348	21472533
44	OG0007478	MSYJ131400.1	0.624156	3440880	Cs2g10230.1	0.0	23223743
45	OG0007479	MSYJ055390.1	0.499122	997	Cs3g20370.1	0.0987713	-355
46	OG0007485	MSYJ187310.1	21.906999999999996	-182	Cs2g03610.1	5.58476	14972443
47	OG0007486	MSYJ256400.1	0.0	3258	Cs3g25020.1	0.63918	-3106
48	OG0007487	MSYJ281410.1	0.542535	1486505	Cs7g19410.1	0.0	-691
49	OG0007490	MSYJ061720.1	51.5516	309884	Cs2g25500.1	29.5197	-1258
