Orthogroup	Species	Gene	Expr
OG0000000	Cs	Cs1g03830.1	0
OG0000000	Cs	Cs1g03930.1	0.133475
OG0000000	Cs	Cs1g04320.1	0
OG0000000	Cs	Cs1g04330.1	0.0759734
OG0000000	Cs	Cs1g05050.1	0
OG0000000	Cs	Cs1g05130.1	0
OG0000000	Cs	Cs1g06260.1	1.19351
OG0000000	Cs	Cs1g06570.1	0
OG0000000	Cs	Cs1g07700.1	0.181596
OG0000000	Cs	Cs1g08310.1	0
OG0000000	Cs	Cs1g08520.1	0
OG0000000	Cs	Cs1g08710.1	0.0469226
OG0000000	Cs	Cs1g08750.1	0.0647667
OG0000000	Cs	Cs1g18880.1	0.137241
OG0000000	Cs	Cs1g19260.1	0
OG0000000	Cs	Cs2g04230.1	10.9659
OG0000000	Cs	Cs2g04560.1	0
OG0000000	Cs	Cs2g04570.1	0
OG0000000	Cs	Cs2g06000.1	0.112889
OG0000000	Cs	Cs2g08360.1	0
OG0000000	Cs	Cs2g08480.1	0
OG0000000	Cs	Cs2g08640.1	0
OG0000000	Cs	Cs2g08820.1	0
OG0000000	Cs	Cs2g11500.1	0
OG0000000	Cs	Cs2g14030.1	0
OG0000000	Cs	Cs2g14040.1	0.0700623
OG0000000	Cs	Cs2g14210.1	0
OG0000000	Cs	Cs2g14310.1	0
OG0000000	Cs	Cs2g14340.1	0.326423
OG0000000	Cs	Cs2g15370.1	0
OG0000000	Cs	Cs2g16130.1	0.532833
OG0000000	Cs	Cs2g21540.1	0.632564
OG0000000	Cs	Cs2g21550.1	2.02819
OG0000000	Cs	Cs2g23480.1	0
OG0000000	Cs	Cs2g23620.1	5.04849
OG0000000	Cs	Cs2g23630.1	2.43266
OG0000000	Cs	Cs2g24570.1	0
OG0000000	Cs	Cs2g24650.1	0.967697
OG0000000	Cs	Cs2g25170.1	0
OG0000000	Cs	Cs2g26180.1	0
OG0000000	Cs	Cs2g26270.1	0
OG0000000	Cs	Cs2g28580.1	0
OG0000000	Cs	Cs2g28740.1	0.0424163
OG0000000	Cs	Cs3g01470.1	27.7141
OG0000000	Cs	Cs3g01500.1	1.27652
OG0000000	Cs	Cs3g01910.1	0
OG0000000	Cs	Cs3g02800.1	0
OG0000000	Cs	Cs3g03000.1	6.91461
OG0000000	Cs	Cs3g03410.1	0
OG0000000	Cs	Cs3g03780.1	0
OG0000000	Cs	Cs3g04830.1	0
OG0000000	Cs	Cs3g05080.1	0.0366113
OG0000000	Cs	Cs3g05460.1	0
OG0000000	Cs	Cs3g05970.1	1.72052
OG0000000	Cs	Cs3g05980.1	1.63418
OG0000000	Cs	Cs3g05990.1	2.65792
OG0000000	Cs	Cs3g07060.1	0
OG0000000	Cs	Cs3g07840.1	5.2079e-07
OG0000000	Cs	Cs3g08710.1	0
OG0000000	Cs	Cs3g09910.1	0
OG0000000	Cs	Cs3g10340.1	0
OG0000000	Cs	Cs3g10880.1	0
OG0000000	Cs	Cs3g12060.1	0.330268
OG0000000	Cs	Cs3g12890.1	0
OG0000000	Cs	Cs3g12900.1	0
OG0000000	Cs	Cs3g13590.1	0
OG0000000	Cs	Cs3g14370.1	0.145761
OG0000000	Cs	Cs3g15730.1	0
OG0000000	Cs	Cs3g18020.1	0
OG0000000	Cs	Cs3g21040.1	0.230353
OG0000000	Cs	Cs3g26530.1	6.58515
OG0000000	Cs	Cs3g27590.1	0
OG0000000	Cs	Cs4g06110.1	0
OG0000000	Cs	Cs4g07950.1	0
OG0000000	Cs	Cs4g07960.1	0
OG0000000	Cs	Cs4g11810.1	1.19175
OG0000000	Cs	Cs4g12000.1	0.521859
OG0000000	Cs	Cs4g12420.1	0
OG0000000	Cs	Cs4g12930.1	12.2834
OG0000000	Cs	Cs4g13150.1	0.526784
OG0000000	Cs	Cs4g13830.1	0.812243
OG0000000	Cs	Cs4g17660.1	0.0446253
OG0000000	Cs	Cs4g17840.1	1.17223
OG0000000	Cs	Cs4g18610.1	5.92129
OG0000000	Cs	Cs4g18840.1	0
OG0000000	Cs	Cs4g19380.1	0.413255
OG0000000	Cs	Cs4g19450.1	1.73385
OG0000000	Cs	Cs4g19750.1	0.622919
OG0000000	Cs	Cs5g01470.1	0
OG0000000	Cs	Cs5g06300.1	0
OG0000000	Cs	Cs5g11180.1	0
OG0000000	Cs	Cs5g11270.1	0
OG0000000	Cs	Cs5g12740.1	0.0853408
OG0000000	Cs	Cs5g12750.1	0.0853408
OG0000000	Cs	Cs5g12770.1	0
OG0000000	Cs	Cs5g13390.1	0
OG0000000	Cs	Cs5g13480.1	0
OG0000000	Cs	Cs5g14830.1	0
OG0000000	Cs	Cs5g14870.1	0
OG0000000	Cs	Cs5g14890.1	2.90452
OG0000000	Cs	Cs5g15620.1	0.324976
OG0000000	Cs	Cs5g17080.1	0.918113
OG0000000	Cs	Cs5g17840.1	7.27213
OG0000000	Cs	Cs5g17850.1	2.92305
OG0000000	Cs	Cs5g17910.1	0.217369
OG0000000	Cs	Cs5g18650.1	0
OG0000000	Cs	Cs5g19960.1	0.13436
OG0000000	Cs	Cs5g22960.1	1.31456
OG0000000	Cs	Cs5g25480.1	0
OG0000000	Cs	Cs5g25490.1	0.431007
OG0000000	Cs	Cs5g25980.1	2.91292
OG0000000	Cs	Cs5g27380.1	1.5089
OG0000000	Cs	Cs5g27500.1	0.53446
OG0000000	Cs	Cs5g30430.1	0
OG0000000	Cs	Cs5g35230.1	0
OG0000000	Cs	Cs6g02230.1	0
OG0000000	Cs	Cs6g02390.1	0
OG0000000	Cs	Cs6g03050.1	0
OG0000000	Cs	Cs6g04280.1	0
OG0000000	Cs	Cs6g05300.1	0
OG0000000	Cs	Cs6g05310.1	0
OG0000000	Cs	Cs6g05670.1	2.01027
OG0000000	Cs	Cs6g05730.1	0
OG0000000	Cs	Cs6g05820.1	5.34961
OG0000000	Cs	Cs6g06460.1	0
OG0000000	Cs	Cs6g07580.1	0
OG0000000	Cs	Cs6g11160.1	0
OG0000000	Cs	Cs6g12660.1	0.0544453
OG0000000	Cs	Cs6g12690.1	0
OG0000000	Cs	Cs6g12700.1	0
OG0000000	Cs	Cs7g01550.1	0
OG0000000	Cs	Cs7g02710.1	2.92968
OG0000000	Cs	Cs7g04060.1	0
OG0000000	Cs	Cs7g08530.1	0
OG0000000	Cs	Cs7g13300.1	0
OG0000000	Cs	Cs7g15510.1	0
OG0000000	Cs	Cs7g15520.1	0
OG0000000	Cs	Cs7g16190.1	0
OG0000000	Cs	Cs7g16710.1	0.854637
OG0000000	Cs	Cs7g16780.1	2.06945
OG0000000	Cs	Cs7g17210.1	0
OG0000000	Cs	Cs7g17650.1	0
OG0000000	Cs	Cs7g19040.1	0
OG0000000	Cs	Cs7g19220.1	0.487313
OG0000000	Cs	Cs7g19980.1	0
OG0000000	Cs	Cs7g21970.1	0.206156
OG0000000	Cs	Cs7g21980.1	0
OG0000000	Cs	Cs7g22140.1	0.121779
OG0000000	Cs	Cs7g22340.1	1.00185
OG0000000	Cs	Cs7g22350.1	7.96463
OG0000000	Cs	Cs7g22530.1	0
OG0000000	Cs	Cs7g23060.1	2.62968
OG0000000	Cs	Cs7g23130.1	0.0887166
OG0000000	Cs	Cs7g23460.1	0.0574648
OG0000000	Cs	Cs7g23930.1	0
OG0000000	Cs	Cs7g25110.1	5.99713
OG0000000	Cs	Cs7g25490.1	0
OG0000000	Cs	Cs7g27230.1	0
OG0000000	Cs	Cs7g28300.1	0
OG0000000	Cs	Cs7g29790.1	0
OG0000000	Cs	Cs7g29800.1	0
OG0000000	Cs	Cs7g32290.1	0
OG0000000	Cs	Cs8g01430.1	0
OG0000000	Cs	Cs8g08360.1	0
OG0000000	Cs	Cs8g08560.1	0
OG0000000	Cs	Cs8g10530.1	0.114851
OG0000000	Cs	Cs8g10590.1	0.0250627
OG0000000	Cs	Cs8g11240.1	0
OG0000000	Cs	Cs8g11270.1	0.0329667
OG0000000	Cs	Cs8g11410.1	5.77238
OG0000000	Cs	Cs8g11440.1	0
OG0000000	Cs	Cs8g11840.1	0
OG0000000	Cs	Cs8g12320.1	0
OG0000000	Cs	Cs8g12330.1	0
OG0000000	Cs	Cs8g12460.1	0.244816
OG0000000	Cs	Cs8g13670.1	0.0615383
OG0000000	Cs	Cs8g13870.1	0
OG0000000	Cs	Cs8g13880.1	0
OG0000000	Cs	Cs8g15260.1	0
OG0000000	Cs	Cs8g15590.1	0
OG0000000	Cs	Cs8g21000.1	5.89901
OG0000000	Cs	Cs9g02560.1	0.373818
OG0000000	Cs	Cs9g08320.1	0.0157743
OG0000000	Cs	Cs9g08980.1	0.144793
OG0000000	Cs	Cs9g10600.1	0
OG0000000	Cs	Cs9g10660.1	0
OG0000000	Cs	Cs9g10800.1	0.759576
OG0000000	Cs	Cs9g11310.1	0
OG0000000	Cs	Cs9g11380.1	0
OG0000000	Cs	Cs9g15220.1	0
OG0000000	Cs	Cs9g15230.1	0
OG0000000	Cr	MSYJ180490.1	0
OG0000000	Cs	orange1.1t00070.1	0.105456
OG0000000	Cs	orange1.1t00099.1	4.95279
OG0000000	Cs	orange1.1t00444.1	0.176866
OG0000000	Cs	orange1.1t00771.1	0
OG0000000	Cs	orange1.1t00975.1	0
OG0000000	Cs	orange1.1t00976.1	0
OG0000000	Cs	orange1.1t01134.1	0.280496
OG0000000	Cs	orange1.1t01262.1	0
OG0000000	Cs	orange1.1t01282.1	0
OG0000000	Cs	orange1.1t01299.1	0
OG0000000	Cs	orange1.1t01300.1	0
OG0000000	Cs	orange1.1t01316.1	0.844855
OG0000000	Cs	orange1.1t01326.1	0
OG0000000	Cs	orange1.1t01809.1	2.67188
OG0000000	Cs	orange1.1t01811.1	0
OG0000000	Cs	orange1.1t01838.1	0
OG0000000	Cs	orange1.1t01929.1	0
OG0000000	Cs	orange1.1t01930.1	0
OG0000000	Cs	orange1.1t01985.1	0
OG0000000	Cs	orange1.1t02082.1	40.0894
OG0000000	Cs	orange1.1t02089.1	0
OG0000000	Cs	orange1.1t02430.1	0
OG0000000	Cs	orange1.1t02513.1	0
OG0000000	Cs	orange1.1t02580.1	0
OG0000000	Cs	orange1.1t02587.1	0.0910327
OG0000000	Cs	orange1.1t02648.1	0
OG0000000	Cs	orange1.1t02829.1	0
OG0000000	Cs	orange1.1t02870.1	0
OG0000000	Cs	orange1.1t02907.1	0.211034
OG0000000	Cs	orange1.1t02908.1	0
OG0000000	Cs	orange1.1t02986.1	0.048758
OG0000000	Cs	orange1.1t02996.1	0
OG0000000	Cs	orange1.1t03083.1	0
OG0000000	Cs	orange1.1t03085.1	0
OG0000000	Cs	orange1.1t03143.1	0.074917
OG0000000	Cs	orange1.1t03187.1	0
OG0000000	Cs	orange1.1t03200.1	8.32714
OG0000000	Cs	orange1.1t03201.1	4.27943
OG0000000	Cs	orange1.1t03211.1	0
OG0000000	Cs	orange1.1t03216.1	0
OG0000000	Cs	orange1.1t03380.1	0
OG0000000	Cs	orange1.1t03540.1	0
OG0000000	Cs	orange1.1t03846.1	1.34764
OG0000000	Cs	orange1.1t03847.1	1.64016
OG0000000	Cs	orange1.1t03848.1	1.90982
OG0000000	Cs	orange1.1t04012.1	0.0456954
OG0000000	Cs	orange1.1t04014.1	0
OG0000000	Cs	orange1.1t04259.1	0
OG0000000	Cs	orange1.1t04459.1	0
OG0000000	Cs	orange1.1t04534.1	0
OG0000000	Cs	orange1.1t04535.1	0.189241
OG0000000	Cs	orange1.1t04567.1	0.0679022
OG0000000	Cs	orange1.1t04680.1	0
OG0000000	Cs	orange1.1t04704.1	0
OG0000000	Cs	orange1.1t04772.1	0
OG0000000	Cs	orange1.1t04814.1	0
OG0000000	Cs	orange1.1t05147.1	0
OG0000000	Cs	orange1.1t05321.1	0
OG0000000	Cs	orange1.1t05324.1	1.25941
OG0000000	Cs	orange1.1t05501.1	0
OG0000000	Cs	orange1.1t05564.1	0
OG0000000	Cs	orange1.1t05640.1	1.81928
OG0000000	Cs	orange1.1t05645.1	0
OG0000000	Cs	orange1.1t05720.1	0
OG0000000	Cs	orange1.1t05756.1	0
OG0000000	Cs	orange1.1t05797.1	0
OG0000000	Cs	orange1.1t05818.1	0
OG0000001	Cs	Cs1g08960.1	0
OG0000001	Cs	Cs2g22940.1	0
OG0000001	Cs	Cs2g25770.1	0
OG0000001	Cs	Cs2g25830.1	0
OG0000001	Cs	Cs2g25950.1	0
OG0000001	Cs	Cs2g26000.1	0
OG0000001	Cs	Cs5g11060.1	0
OG0000001	Cs	Cs5g11090.1	0
OG0000001	Cs	Cs5g11110.1	0
OG0000001	Cs	Cs5g16600.1	0
OG0000001	Cs	Cs5g16610.1	0
OG0000001	Cs	Cs5g16620.1	0
OG0000001	Cs	Cs5g16630.1	0
OG0000001	Cs	Cs5g16670.1	0
OG0000001	Cs	Cs5g16730.1	0
OG0000001	Cs	Cs5g21310.1	0
OG0000001	Cs	Cs5g21320.1	0
OG0000001	Cs	Cs5g21450.1	0
OG0000001	Cs	Cs5g21480.1	0
OG0000001	Cs	Cs5g21560.1	0
OG0000001	Cs	Cs5g21580.1	0
OG0000001	Cs	Cs5g21610.1	0
OG0000001	Cs	Cs5g21650.1	0
OG0000001	Cs	Cs5g21660.1	0
OG0000001	Cs	Cs7g24150.1	0
OG0000001	Cs	Cs7g24160.1	0
OG0000001	Cs	Cs8g06150.1	0
OG0000001	Cs	Cs8g06170.1	0
OG0000001	Cs	Cs8g06200.1	0
OG0000001	Cs	Cs8g06230.1	0
OG0000001	Cs	Cs8g06250.1	0
OG0000001	Cs	Cs8g06260.1	0
OG0000001	Cs	Cs8g06280.1	0
OG0000001	Cs	Cs8g06290.1	0
OG0000001	Cs	Cs8g06310.1	0
OG0000001	Cs	Cs8g06320.1	0
OG0000001	Cs	Cs8g11930.1	0
OG0000001	Cr	MSYJ127060.1	0
OG0000001	Cs	orange1.1t00128.1	0
OG0000001	Cs	orange1.1t00129.1	0
OG0000001	Cs	orange1.1t00130.1	0
OG0000001	Cs	orange1.1t00132.1	0
OG0000001	Cs	orange1.1t00138.1	0
OG0000001	Cs	orange1.1t00139.1	0
OG0000001	Cs	orange1.1t00141.1	0
OG0000001	Cs	orange1.1t00152.1	0
OG0000001	Cs	orange1.1t00161.1	0
OG0000001	Cs	orange1.1t00162.1	0
OG0000001	Cs	orange1.1t00862.1	0
OG0000001	Cs	orange1.1t00863.1	0
OG0000001	Cs	orange1.1t00867.1	0
OG0000001	Cs	orange1.1t00869.1	0
OG0000001	Cs	orange1.1t00881.1	0
OG0000001	Cs	orange1.1t00889.1	0
OG0000001	Cs	orange1.1t00894.1	0
OG0000001	Cs	orange1.1t00905.1	0
OG0000001	Cs	orange1.1t00906.1	0
OG0000001	Cs	orange1.1t00916.1	0
OG0000001	Cs	orange1.1t00920.1	0
OG0000001	Cs	orange1.1t00923.1	0
OG0000001	Cs	orange1.1t00924.1	0
OG0000001	Cs	orange1.1t00928.1	0
OG0000001	Cs	orange1.1t00929.1	0
OG0000001	Cs	orange1.1t00933.1	0
OG0000001	Cs	orange1.1t00935.1	0
OG0000001	Cs	orange1.1t00947.1	0.239581
OG0000001	Cs	orange1.1t00968.1	0
OG0000001	Cs	orange1.1t00969.1	0
OG0000001	Cs	orange1.1t00973.1	0
OG0000001	Cs	orange1.1t00978.1	0
OG0000001	Cs	orange1.1t00979.1	0
OG0000001	Cs	orange1.1t00986.1	0
OG0000001	Cs	orange1.1t00987.1	0
OG0000001	Cs	orange1.1t00988.1	0
OG0000001	Cs	orange1.1t00990.1	0
OG0000001	Cs	orange1.1t00991.1	0
