Orthogroup	Species	Gene	TPM
OG0000000	Cs	Cs1g03830.1	0
OG0000000	Cs	Cs1g03930.1	0.126312
OG0000000	Cs	Cs1g04320.1	0
OG0000000	Cs	Cs1g04330.1	0.072177
OG0000000	Cs	Cs1g05050.1	0
OG0000000	Cs	Cs1g05130.1	0
OG0000000	Cs	Cs1g06260.1	1.13794
OG0000000	Cs	Cs1g06570.1	0
OG0000000	Cs	Cs1g07700.1	0.17185
OG0000000	Cs	Cs1g08310.1	0
OG0000000	Cs	Cs1g08520.1	0
OG0000000	Cs	Cs1g08710.1	0.0447191
OG0000000	Cs	Cs1g08750.1	0.0615794
OG0000000	Cs	Cs1g18880.1	0.130402
OG0000000	Cs	Cs1g19260.1	0
OG0000000	Cs	Cs2g04230.1	10.2637
OG0000000	Cs	Cs2g04560.1	0
OG0000000	Cs	Cs2g04570.1	0
OG0000000	Cs	Cs2g06000.1	0.105963
OG0000000	Cs	Cs2g08360.1	0
OG0000000	Cs	Cs2g08480.1	0
OG0000000	Cs	Cs2g08640.1	0
OG0000000	Cs	Cs2g08820.1	0
OG0000000	Cs	Cs2g11500.1	0
OG0000000	Cs	Cs2g14040.1	0.066185
OG0000000	Cs	Cs2g14210.1	0
OG0000000	Cs	Cs2g14310.1	0
OG0000000	Cs	Cs2g14340.1	0.305674
OG0000000	Cs	Cs2g15370.1	0
OG0000000	Cs	Cs2g16130.1	0.505623
OG0000000	Cs	Cs2g21540.1	0.602803
OG0000000	Cs	Cs2g21550.1	1.9186
OG0000000	Cs	Cs2g23480.1	0
OG0000000	Cs	Cs2g23620.1	4.73088
OG0000000	Cs	Cs2g23630.1	2.29222
OG0000000	Cs	Cs2g24570.1	0
OG0000000	Cs	Cs2g24650.1	0.913667
OG0000000	Cs	Cs2g25170.1	0
OG0000000	Cs	Cs2g26180.1	0
OG0000000	Cs	Cs2g26270.1	0
OG0000000	Cs	Cs2g28580.1	0
OG0000000	Cs	Cs2g28740.1	0.040349
OG0000000	Cs	Cs3g01470.1	26.2571
OG0000000	Cs	Cs3g01500.1	1.19531
OG0000000	Cs	Cs3g01910.1	0
OG0000000	Cs	Cs3g02800.1	0
OG0000000	Cs	Cs3g03000.1	6.53441
OG0000000	Cs	Cs3g03410.1	0
OG0000000	Cs	Cs3g03780.1	0
OG0000000	Cs	Cs3g04830.1	0
OG0000000	Cs	Cs3g05080.1	0.0349085
OG0000000	Cs	Cs3g05460.1	0
OG0000000	Cs	Cs3g05970.1	1.63568
OG0000000	Cs	Cs3g05980.1	1.54416
OG0000000	Cs	Cs3g05990.1	2.49149
OG0000000	Cs	Cs3g07060.1	0
OG0000000	Cs	Cs3g07840.1	0
OG0000000	Cs	Cs3g08710.1	0
OG0000000	Cs	Cs3g09910.1	0
OG0000000	Cs	Cs3g10340.1	0
OG0000000	Cs	Cs3g10880.1	0
OG0000000	Cs	Cs3g12060.1	0.315353
OG0000000	Cs	Cs3g12890.1	0
OG0000000	Cs	Cs3g12900.1	0
OG0000000	Cs	Cs3g13590.1	0
OG0000000	Cs	Cs3g14370.1	0.138953
OG0000000	Cs	Cs3g15730.1	0
OG0000000	Cs	Cs3g18020.1	0
OG0000000	Cs	Cs3g21040.1	0.217976
OG0000000	Cs	Cs3g26530.1	6.17154
OG0000000	Cs	Cs3g27590.1	0
OG0000000	Cs	Cs4g06110.1	0
OG0000000	Cs	Cs4g07950.1	0
OG0000000	Cs	Cs4g07960.1	0
OG0000000	Cs	Cs4g11810.1	1.13307
OG0000000	Cs	Cs4g12000.1	0.497384
OG0000000	Cs	Cs4g12420.1	0
OG0000000	Cs	Cs4g12930.1	11.6269
OG0000000	Cs	Cs4g13150.1	0.498181
OG0000000	Cs	Cs4g13830.1	0.76125
OG0000000	Cs	Cs4g17660.1	0.0425632
OG0000000	Cs	Cs4g17840.1	1.10773
OG0000000	Cs	Cs4g18610.1	5.64456
OG0000000	Cs	Cs4g18840.1	0
OG0000000	Cs	Cs4g19380.1	0.387301
OG0000000	Cs	Cs4g19450.1	1.6452
OG0000000	Cs	Cs4g19750.1	0.583157
OG0000000	Cs	Cs5g01470.1	0
OG0000000	Cs	Cs5g06300.1	0
OG0000000	Cs	Cs5g11180.1	0
OG0000000	Cs	Cs5g11270.1	0
OG0000000	Cs	Cs5g12740.1	0.0808611
OG0000000	Cs	Cs5g12750.1	0.0808611
OG0000000	Cs	Cs5g12770.1	0
OG0000000	Cs	Cs5g13390.1	0
OG0000000	Cs	Cs5g13480.1	0
OG0000000	Cs	Cs5g14830.1	0
OG0000000	Cs	Cs5g14870.1	0
OG0000000	Cs	Cs5g14890.1	2.72065
OG0000000	Cs	Cs5g15620.1	0.310068
OG0000000	Cs	Cs5g17080.1	0.872132
OG0000000	Cs	Cs5g17840.1	6.83149
OG0000000	Cs	Cs5g17850.1	2.77398
OG0000000	Cs	Cs5g17910.1	0.205462
OG0000000	Cs	Cs5g18650.1	0
OG0000000	Cs	Cs5g19960.1	0.127942
OG0000000	Cs	Cs5g22960.1	1.25354
OG0000000	Cs	Cs5g25480.1	0
OG0000000	Cs	Cs5g25490.1	0.401702
OG0000000	Cs	Cs5g25980.1	2.76658
OG0000000	Cs	Cs5g27380.1	1.42477
OG0000000	Cs	Cs5g27500.1	0.504848
OG0000000	Cs	Cs5g30430.1	0
OG0000000	Cs	Cs5g35230.1	0
OG0000000	Cs	Cs6g02230.1	0
OG0000000	Cs	Cs6g02390.1	0
OG0000000	Cs	Cs6g03050.1	0
OG0000000	Cs	Cs6g04280.1	0
OG0000000	Cs	Cs6g05300.1	0
OG0000000	Cs	Cs6g05310.1	0
OG0000000	Cs	Cs6g05670.1	1.9168
OG0000000	Cs	Cs6g05730.1	0
OG0000000	Cs	Cs6g05820.1	5.01305
OG0000000	Cs	Cs6g06460.1	0
OG0000000	Cs	Cs6g07580.1	0
OG0000000	Cs	Cs6g11160.1	0
OG0000000	Cs	Cs6g12660.1	0.0517539
OG0000000	Cs	Cs6g12690.1	0
OG0000000	Cs	Cs6g12700.1	0
OG0000000	Cs	Cs7g01550.1	0
OG0000000	Cs	Cs7g02710.1	2.7667
OG0000000	Cs	Cs7g04060.1	0
OG0000000	Cs	Cs7g08530.1	0
OG0000000	Cs	Cs7g13300.1	0
OG0000000	Cs	Cs7g15510.1	0
OG0000000	Cs	Cs7g15520.1	0
OG0000000	Cs	Cs7g16190.1	0
OG0000000	Cs	Cs7g16710.1	0.813201
OG0000000	Cs	Cs7g16780.1	1.94221
OG0000000	Cs	Cs7g17210.1	0
OG0000000	Cs	Cs7g17650.1	0
OG0000000	Cs	Cs7g19040.1	0
OG0000000	Cs	Cs7g19220.1	0.461501
OG0000000	Cs	Cs7g19980.1	0
OG0000000	Cs	Cs7g21970.1	0.195966
OG0000000	Cs	Cs7g21980.1	0
OG0000000	Cs	Cs7g22140.1	0.113928
OG0000000	Cs	Cs7g22300.1	0.544006
OG0000000	Cs	Cs7g22340.1	0.949987
OG0000000	Cs	Cs7g22350.1	7.51471
OG0000000	Cs	Cs7g22350.2	0
OG0000000	Cs	Cs7g22530.1	0
OG0000000	Cs	Cs7g23060.1	2.49146
OG0000000	Cs	Cs7g23130.1	0.0843569
OG0000000	Cs	Cs7g23460.1	0.0547888
OG0000000	Cs	Cs7g23930.1	0
OG0000000	Cs	Cs7g25110.1	5.66835
