Orthogroup	Cr	Cr.expr	Cs	Cs.expr
OG0007416	MSYJ204640.1	45.4075	Cs8g19610.1	38.8195
OG0007417	MSYJ064690.1	0.264106	Cs9g11570.1	0
OG0007418	MSYJ002910.1	0.0467735	orange1.1t02145.1	0
OG0007420	MSYJ253410.1	0.161517	orange1.1t04031.1	1.02125
OG0007421	MSYJ237430.1	0	Cs5g18030.1	0
OG0007422	MSYJ127300.1	2.04384	orange1.1t05472.1	0
OG0007423	MSYJ187290.1	21.8946	Cs2g03630.1	18.0103
OG0007424	MSYJ132840.1	27.3377	Cs2g11770.1	9.69833
OG0007425	MSYJ284650.1	5.85315	Cs1g08000.1	3.46681
OG0007428	MSYJ277770.1	1.00959	Cs1g24780.1	3.47219
OG0007429	MSYJ055280.1	3.83934	Cs3g20450.1	6.71845
OG0007430	MSYJ027970.1	40.2031	Cs2g20980.1	20.818
OG0007431	MSYJ028830.1	0	Cs2g19980.1	0
OG0007433	MSYJ256970.1	30.2178	Cs3g24430.1	2.10168
OG0007434	MSYJ086470.1	62.2007	Cs4g09390.1	73.8336
OG0007435	MSYJ192110.1	0	Cs2g29760.1	0
OG0007436	MSYJ048020.1	7.87455	Cs1g20480.1	5.26124
OG0007437	MSYJ261620.1	48.6516	Cs7g08350.1	23.661
OG0007440	MSYJ281320.1	12.2903	Cs7g19480.1	17.4121
OG0007441	MSYJ130600.1	87.5703	orange1.1t03842.1	73.8779
OG0007442	MSYJ179950.1	0	Cs7g21150.1	0.323005
OG0007443	MSYJ143830.1	0	Cs8g03130.1	0
OG0007444	MSYJ143380.1	0.0326127	Cs8g02650.1	0
OG0007445	MSYJ104060.1	2.95689	Cs4g17250.2	5.23093
OG0007446	MSYJ195670.1	54.6861	Cs4g17550.1	52.2085
OG0007448	MSYJ097270.1	1.53346	Cs7g20190.1	0.128916
OG0007449	MSYJ256200.1	2.88123	Cs3g25200.1	5.30894
OG0007452	MSYJ108320.1	2.22342	Cs1g03640.1	0.79787
OG0007455	MSYJ185130.1	23.1557	Cs2g05970.1	38.6179
OG0007456	MSYJ120240.1	179.669	Cs6g21110.1	80.7465
OG0007458	MSYJ036440.1	4.72985	Cs6g17450.1	0.875411
OG0007459	MSYJ103690.1	0	Cs8g01750.1	0
OG0007460	MSYJ031000.1	42.5359	Cs6g11550.1	0
OG0007462	MSYJ099210.1	0	Cs1g09940.1	0
OG0007464	MSYJ042510.1	178.945	Cs7g28120.1	0.550243
OG0007465	MSYJ284680.1	24.4772	Cs1g08010.1	27.0014
OG0007469	MSYJ163820.1	46.2494	Cs3g01390.1	66.0433
OG0007470	MSYJ113660.1	578.575	orange1.1t01674.1	156.793
OG0007471	MSYJ048870.1	72.9853	Cs1g19660.1	22.4324
OG0007472	MSYJ032950.1	223.925	Cs6g13760.1	75.6911
OG0007473	MSYJ040960.1	0	Cs2g17180.1	0
OG0007474	MSYJ151100.1	1.82993	Cs3g07440.1	1.60564
OG0007475	MSYJ046460.1	1.86881	Cs1g21990.1	0.11129
OG0007477	MSYJ133460.1	8.97822	Cs2g12400.2	4.5348
OG0007478	MSYJ131400.1	0.624156	Cs2g10230.1	0
OG0007479	MSYJ055390.1	0.499122	Cs3g20370.1	0.0987713
OG0007485	MSYJ187310.1	21.907	Cs2g03610.1	5.58476
OG0007486	MSYJ256400.1	0	Cs3g25020.1	0.63918
OG0007487	MSYJ281410.1	0.542535	Cs7g19410.1	0
OG0007490	MSYJ061720.1	51.5516	Cs2g25500.1	29.5197
OG0007491	MSYJ158480.1	0.420139	Cs7g23610.1	0.355803
OG0007492	MSYJ124920.1	0	orange1.1t02874.1	0
OG0007493	MSYJ248200.1	53.0262	Cs4g12580.1	60.7003
OG0007494	MSYJ286410.1	0	Cs5g19610.1	0
OG0007498	MSYJ220650.1	14.4655	Cs5g29170.1	5.12013
OG0007499	MSYJ057070.1	45.7175	Cs2g19350.1	17.1318
OG0007500	MSYJ025650.1	49.1146	orange1.1t00912.1	42.3477
OG0007501	MSYJ024240.1	13.3421	orange1.1t05959.1	15.8341
OG0007505	MSYJ065760.1	128.315	Cs3g16830.1	147.723
OG0007507	MSYJ207730.1	26.1028	Cs3g07395.1	11.3249
OG0007508	MSYJ112270.1	17.0708	orange1.1t00584.1	11.5031
OG0007511	MSYJ250160.1	7.80333	Cs3g21710.1	12.733
OG0007512	MSYJ119520.1	0.142082	Cs6g21890.1	0.141556
OG0007513	MSYJ105710.1	161.337	Cs5g08610.1	223.235
OG0007514	MSYJ069050.1	18.1565	Cs6g20090.1	13.1076
OG0007515	MSYJ036180.1	42.2967	Cs6g17180.3	56.3724
OG0007517	MSYJ012930.1	0.700124	Cs1g16830.1	0.689928
OG0007518	MSYJ113800.1	1.13695	orange1.1t01659.1	0.450713
OG0007519	MSYJ175540.1	0.236257	Cs5g10390.1	0.108822
OG0007523	MSYJ093980.1	11.1593	Cs5g05730.1	20.7865
OG0007524	MSYJ027170.1	0	Cs2g21800.1	0
OG0007525	MSYJ049900.1	4.5729	Cs7g31830.1	2.89267
OG0007526	MSYJ198990.1	0.768512	orange1.1t02316.1	0
OG0007530	MSYJ250170.1	5.01638	Cs3g21720.1	6.18978
OG0007531	MSYJ181600.1	15.6212	Cs3g01960.1	19.0159
OG0007533	MSYJ111850.1	58.6417	orange1.1t00544.1	108.798
OG0007534	MSYJ109590.1	41.0628	orange1.1t00306.1	29.9787
OG0007535	MSYJ136490.1	0	orange1.1t03358.1	0
OG0007538	MSYJ093490.1	31.2852	Cs5g06170.1	14.0203
OG0007539	MSYJ066540.1	56.5255	Cs3g16000.1	37.2479
OG0007541	MSYJ097820.1	0	Cs7g22090.1	0
OG0007542	MSYJ149730.1	8.99751	Cs7g24580.1	27.2043
OG0007543	MSYJ205700.1	4.43618	Cs8g18480.1	4.74825
OG0007544	MSYJ014100.1	33.4957	Cs1g15460.1	36.9262
OG0007545	MSYJ242980.1	3.00981	Cs7g14960.1	0.526712
OG0007546	MSYJ233480.1	11.3159	Cs5g03210.1	1.18646
OG0007547	MSYJ192020.1	34.6268	Cs2g29680.1	196.968
OG0007548	MSYJ100780.1	34.3643	Cs6g06910.1	68.6182
OG0007550	MSYJ063730.1	9.58168	Cs3g18970.1	10.4945
OG0007552	MSYJ200140.1	1.80807	Cs6g04550.1	0.824452
OG0007555	MSYJ138350.1	0.137464	Cs1g13140.1	0
OG0007556	MSYJ030610.1	18.6123	Cs6g11060.1	27.7716
OG0007557	MSYJ035340.1	1.02565	Cs6g16340.1	1.0254
OG0007558	MSYJ222190.1	20.0536	orange1.1t01861.1	25.3474
OG0007559	MSYJ068290.1	7.22073	Cs3g14270.1	13.4802
OG0007560	MSYJ232820.1	0.111389	Cs5g03880.1	0
OG0007562	MSYJ260560.1	0.268269	Cs2g14570.1	0.57154
OG0007563	MSYJ165990.1	33.6863	Cs9g06990.1	16.7151
OG0007564	MSYJ063630.1	0.736737	Cs3g19060.1	0.760641
OG0007566	MSYJ134880.1	0.30329	Cs2g16610.1	0
OG0007567	MSYJ253060.1	3.56803	Cs5g26050.2	6.68193
OG0007572	MSYJ088550.1	0.0263341	Cs6g11920.1	0
OG0007573	MSYJ161500.1	66.882	Cs7g02890.1	30.1231
OG0007574	MSYJ242910.1	7.00208	Cs7g15050.1	1.9639
OG0007577	MSYJ074740.1	0.488161	Cs4g01810.1	0.90783
OG0007581	MSYJ182370.1	42.2117	Cs1g22710.1	46.4359
OG0007582	MSYJ087160.1	19.2281	Cs4g08560.1	16.0643
OG0007583	MSYJ072010.1	1.57482	Cs7g06500.1	1.3192
OG0007585	MSYJ287140.1	36.4184	Cs5g27020.1	27.89
OG0007586	MSYJ212050.1	0	Cs8g04950.1	0
OG0007588	MSYJ226490.1	18.0924	orange1.1t03504.1	8.70327
OG0007589	MSYJ142870.1	3.35012	Cs8g02160.1	7.51404
OG0007590	MSYJ118220.1	41.1963	Cs9g18710.1	55.1416
OG0007595	MSYJ008090.1	4.1243	Cs9g12610.1	1.97812
OG0007596	MSYJ071860.1	30.8737	Cs7g06660.1	35.8194
OG0007597	MSYJ034240.1	603.533	Cs6g15220.2	186.265
OG0007598	MSYJ020130.1	1.56697	Cs8g16870.1	0
OG0007599	MSYJ133670.1	16.2316	Cs2g12590.1	9.67794
OG0007600	MSYJ103370.1	10.1746	Cs8g01400.1	1.72036
OG0007601	MSYJ149530.1	1.34097	Cs7g22000.2	0.68067
OG0007602	MSYJ251930.1	0.301342	Cs5g27170.1	0.0719695
OG0007604	MSYJ257870.1	22.8266	Cs3g23490.1	23.8291
OG0007606	MSYJ057130.1	20.5246	Cs2g19390.1	18.1141
OG0007609	MSYJ153980.1	80.2664	orange1.1t02456.1	52.5436
OG0007610	MSYJ238640.1	2.05171	Cs9g08110.2	1.80652
OG0007611	MSYJ217980.1	16.8799	Cs5g32120.2	34.1693
OG0007612	MSYJ100500.1	96.2917	Cs6g06620.1	18.5206
OG0007613	MSYJ211530.1	102.823	Cs9g17740.1	27.0172
OG0007614	MSYJ006250.1	0	Cs2g26330.1	0
OG0007615	MSYJ208970.1	13.6152	Cs7g12450.1	34.5596
OG0007618	MSYJ254940.1	2.31504	Cs3g26570.1	0.800648
OG0007621	MSYJ237680.1	0	Cs8g06700.1	0
